code,predicted_pm2.5
0,4.8308377
1,5.1281595
2,5.347409
3,4.473991
4,5.2847176
5,5.3308096
6,5.2194176
7,5.265291
8,5.429033
9,4.9937196
10,5.1003504
11,4.7904234
12,3.0808158
13,3.6629229
14,3.4148958
15,3.165286
16,5.4398675
17,5.0728426
18,4.2983613
19,3.8344672
20,4.608237
21,4.7647214
22,4.869703
23,5.324471
24,4.868134
25,3.3227117
26,4.041159
27,3.9112377
28,2.502526
29,3.508894
30,2.5191302
31,3.7655945
32,3.8775923
33,4.0921273
34,3.8662333
35,4.691039
36,4.0792704
37,3.4925332
38,5.3254848
39,3.3711843
40,3.329308
41,3.4722242
42,3.2798715
43,4.1937294
44,3.2574825
45,3.3763661
46,3.2123942
47,2.6773233
48,3.9091787
49,4.4681444
50,4.5045195
51,4.764638
52,2.5050125
53,3.5044255
54,3.939249
55,3.4047508
56,2.4623418
57,3.9843898
58,4.225136
59,3.5050344
60,3.4759057
61,3.6353931
62,2.6403053
63,4.6426644
64,4.7412143
65,3.968541
66,5.1299505
67,5.3608723
68,4.7961116
69,5.33165
70,5.3481894
71,4.654626
72,3.229567
73,4.036593
74,5.4254045
75,3.6616445
76,5.041394
77,4.164971
78,4.064829
79,3.9340892
80,3.5879288
81,5.2366815
82,4.3300743
83,5.4544334
84,5.340811
85,5.186297
86,5.2620225
87,2.6464038
88,4.325069
89,4.5134406
90,4.1369185
91,5.312353
92,4.91341
93,4.3134646
94,3.5573788
95,4.294216
96,4.0559945
97,3.3749368
98,4.733458
99,3.5061255
100,4.596689
101,4.7088566
102,3.5088487
103,3.3101897
104,5.2853847
105,2.4770596
106,3.3751435
107,4.0402036
108,3.269082
109,4.66081
110,3.4791603
111,5.0114264
112,4.6357594
113,4.5640407
114,4.7060423
115,4.168801
116,3.4636075
117,4.903595
118,5.279787
119,3.872946
120,3.285695
121,4.760866
122,3.912383
123,4.770093
124,4.012919
125,4.05767
126,3.3133523
127,3.2929745
128,2.5809906
129,4.2276473
130,3.2018278
131,3.9509282
132,4.700895
133,3.9423492
134,3.3842952
135,3.5368466
136,5.096458
137,3.9603486
138,4.700387
139,3.1870942
140,5.4547253
141,5.179169
142,5.4365897
143,5.220204
144,3.192586
145,5.3598285
146,4.7856054
147,4.3267956
148,4.8939238
149,4.790833
150,4.9339066
151,4.5681186
152,5.1948414
153,5.0180492
154,5.4963264
155,5.475574
156,5.1794257
157,5.1104994
158,2.6001964
159,5.5871263
160,4.282893
161,5.3962455
162,4.7677464
163,4.710183
164,5.4563146
165,5.329286
166,4.8375983
167,4.646338
168,4.024702
169,3.2879324
170,3.542332
171,3.5090535
172,2.7152574
173,2.9822533
174,3.443357
175,5.345104
176,4.84704
177,2.6217113
178,3.995923
179,4.733414
180,5.04216
181,4.0117674
182,5.0105405
183,5.582035
184,2.824987
185,4.0566325
186,4.560203
187,4.482254
188,4.134164
189,4.0500803
190,4.176716
191,2.785428
192,3.994972
193,3.1742802
194,3.8814406
195,4.736524
196,3.3060875
197,4.6032357
198,4.0154333
199,3.186368
200,4.6770725
201,3.294569
202,3.5366745
203,4.5861006
204,3.7760544
205,3.9287057
206,5.462986
207,3.8485436
208,5.6151886
209,5.3082237
210,3.3148057
211,4.9299493
212,3.9414911
213,3.989386
214,5.513531
215,4.8973956
216,5.065697
217,5.525972
218,5.0862093
219,5.513884
220,4.931823
221,5.405921
222,5.5153933
223,5.0902514
224,5.5653343
225,4.7205176
226,2.3252301
227,3.0082185
228,5.9024625
229,5.414351
230,5.528238
231,4.777316
232,3.6066267
233,4.8465843
234,3.6306012
235,4.932643
236,3.8429904
237,4.7274213
238,4.963717
239,4.074734
240,3.0793886
241,3.0034723
